Date,Open,High,Low,Close,Volume
2020-04-15,0.720435,0.720674,0.707614,0.708536,143018
2020-04-16,0.708567,0.711106,0.705109,0.710212,149177
2020-04-17,0.710258,0.714061,0.708341,0.713857,135308
2020-04-20,0.713618,0.713643,0.706714,0.706919,134738
2020-04-21,0.706934,0.708567,0.701026,0.703774,219793
2020-04-22,0.703779,0.708481,0.702380,0.706250,153138
2020-04-23,0.706255,0.714301,0.704325,0.710621,143148
2020-04-24,0.710631,0.713089,0.708215,0.709461,113633
2020-04-27,0.710121,0.712824,0.708381,0.712677,116494
2020-04-28,0.712672,0.717581,0.710621,0.714423,87697
2020-04-29,0.714490,0.720710,0.714122,0.720549,78126
2020-04-30,0.720632,0.722032,0.716394,0.717195,82024
2020-05-01,0.717221,0.718086,0.708762,0.709990,65201
2020-05-04,0.710126,0.711698,0.706614,0.709920,63922
2020-05-05,0.709980,0.713893,0.709492,0.711921,59464
2020-05-06,0.711946,0.713129,0.706374,0.707019,64539
2020-05-07,0.707094,0.716712,0.705572,0.715768,63751
2020-05-08,0.715753,0.719000,0.714878,0.717896,49663
2020-05-11,0.717803,0.719424,0.712129,0.714031,52843
2020-05-12,0.714046,0.715712,0.710222,0.710394,45659
2020-05-13,0.710434,0.713980,0.708471,0.709215,58378
2020-05-14,0.709220,0.712652,0.707164,0.711729,56939
2020-05-15,0.711739,0.713358,0.708366,0.708672,52792
2020-05-18,0.709044,0.717592,0.708562,0.717592,40127
2020-05-19,0.717612,0.721173,0.715876,0.717293,52367
2020-05-20,0.717345,0.721095,0.716307,0.719419,43601
2020-05-21,0.719378,0.719896,0.715799,0.716681,48372
2020-05-22,0.716687,0.717314,0.711835,0.714122,49660
2020-05-25,0.714801,0.715907,0.713913,0.715425,43097
2020-05-26,0.715446,0.726908,0.715047,0.726021,49113
2020-05-27,0.726000,0.728465,0.723469,0.727252,68451
2020-05-28,0.727267,0.728131,0.725189,0.726718,70741
2020-05-29,0.726765,0.729171,0.722956,0.726628,82555
2020-06-01,0.726058,0.737566,0.724611,0.736844,67805
2020-06-02,0.736865,0.741636,0.736106,0.739787,64716
2020-06-03,0.739853,0.741845,0.736800,0.741048,74963
2020-06-04,0.741059,0.742512,0.738498,0.740785,72563
2020-06-05,0.740763,0.746776,0.740034,0.744857,73469
2020-06-08,0.745684,0.748710,0.744230,0.747351,62921
2020-06-09,0.747334,0.748548,0.741405,0.745445,76037
2020-06-10,0.745473,0.751027,0.744175,0.745695,88108
2020-06-11,0.745668,0.746486,0.733584,0.733816,110664
2020-06-12,0.733929,0.739268,0.731716,0.736198,123670
2020-06-15,0.735067,0.738225,0.730679,0.736849,109733
2020-06-16,0.736844,0.740488,0.734080,0.738651,102713
2020-06-17,0.738694,0.740094,0.735581,0.737257,89172
2020-06-18,0.737240,0.739568,0.734419,0.735386,85692
2020-06-19,0.735478,0.738171,0.734349,0.735067,75875
2020-06-22,0.734646,0.739743,0.733686,0.739612,60759
2020-06-23,0.739656,0.741526,0.736882,0.738100,76820
2020-06-24,0.738160,0.739224,0.733138,0.733326,71198
2020-06-25,0.733321,0.734900,0.731540,0.733353,56431
2020-06-26,0.733547,0.733821,0.729113,0.730524,45439
2020-06-29,0.731973,0.732773,0.729677,0.732193,49163
2020-06-30,0.732193,0.736941,0.729980,0.736708,50706
2020-07-01,0.736594,0.738263,0.735235,0.736041,45563
2020-07-02,0.736041,0.737479,0.734010,0.737311,45535
2020-07-03,0.737267,0.738383,0.736312,0.738154,32565
2020-07-06,0.737632,0.739672,0.737305,0.738700,38638
2020-07-07,0.738678,0.739399,0.734775,0.735197,45529
2020-07-08,0.735370,0.741163,0.734026,0.740132,43267
2020-07-09,0.740149,0.741251,0.735597,0.736133,48994
2020-07-10,0.736144,0.736665,0.733617,0.735467,46897
2020-07-13,0.736426,0.738760,0.734662,0.734862,46224
2020-07-14,0.734856,0.735565,0.732821,0.734484,59133
2020-07-15,0.734511,0.740483,0.734338,0.740324,47390
2020-07-16,0.740324,0.740675,0.736328,0.736692,38077
2020-07-17,0.736703,0.737643,0.735911,0.736225,29946
2020-07-20,0.736920,0.739350,0.735294,0.738929,34038
2020-07-21,0.738934,0.744896,0.738694,0.743052,36572
2020-07-22,0.743086,0.746297,0.741675,0.745390,44244
2020-07-23,0.745690,0.749019,0.744757,0.745768,45784
2020-07-24,0.745801,0.747585,0.743782,0.745495,49235
2020-07-27,0.745179,0.748901,0.744530,0.748867,50310
2020-07-28,0.748907,0.750131,0.745885,0.747490,43535
2020-07-29,0.747529,0.750041,0.747005,0.749670,46682
2020-07-30,0.749687,0.750086,0.742992,0.745079,56463
2020-07-31,0.745156,0.747837,0.744164,0.745412,61473
2020-08-03,0.746258,0.747395,0.743445,0.746854,41045
2020-08-04,0.747099,0.750875,0.745145,0.750863,42503
2020-08-05,0.750880,0.755669,0.750143,0.753818,44900
2020-08-06,0.753659,0.755093,0.750576,0.751603,50857
2020-08-07,0.752196,0.752774,0.746374,0.747138,50762
2020-08-10,0.746971,0.749985,0.746581,0.749086,32493
2020-08-11,0.749086,0.753568,0.748469,0.751902,45035
2020-08-12,0.751897,0.755921,0.749232,0.755019,50178
2020-08-13,0.755082,0.758058,0.754210,0.756247,54111
